LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
LES,988,0.632117722328855,1563,12.6404350607806,6,5818628.55302623,31,0.0198336532309661,0.671145233525272,0.161290322580645,0.0359584932821497
TVL,3053,0.5962890625,5120,13.3451171875,6,7157153.87896484,595,0.1162109375,0.723828125,0.33109243697479,0.0336334228515625
SWZ,1717,0.68026941362916,2524,17.2900158478605,8,9027459.26223059,35,0.0138668779714739,0.639064976228209,0.2,0.0414149167987322
NBR,975,0.942028985507246,1035,48.0193236714976,39,17348161.1165121,0,0,0.701449275362319,NA,0.104000603864734
NSC,952,0.934249263984298,1019,47.2531894013739,39,16919060.2703337,1,0.00098135426889107,0.759568204121688,0,0.100818817468106
PEI,625,0.961538461538462,650,54.5707692307692,43,20240484.9182308,0,0,0.729230769230769,NA,0.112836538461538
CNT,1493,0.929060360920971,1607,42.1972619788426,35,12218075.3841195,7,0.00435594275046671,0.784069695084007,0.142857142857143,0.0977121577473553
MAI,1404,0.919449901768173,1527,43.5946299934512,36,14649673.0683235,7,0.0045841519318926,0.563195808775377,0.142857142857143,0.0963746316306483
MAS,1572,0.909196067090804,1729,40.9386928860613,34,12099593.0172701,8,0.00462695199537305,0.681897050318103,0,0.0937138519375361
NWH,1326,0.937765205091938,1414,45.1902404526167,37,14765445.858529,2,0.00141442715700141,0.586280056577086,0,0.101601175742574
NWJ,1671,0.899354144241119,1858,38.8363832077503,32,10722682.2247363,5,0.00269106566200215,0.581270182992465,0,0.0898900026910657
NWY,1979,0.881514476614699,2245,37.5363028953229,31,11386982.4805345,18,0.00801781737193764,0.609354120267261,0.0555555555555556,0.0873886414253898
RHO,1172,0.939102564102564,1248,45.1266025641026,37,13030981.9819471,1,0.000801282051282051,0.653044871794872,0,0.102351262019231
VER,1395,0.917763157894737,1520,42.9756578947368,36,13851869.4627171,3,0.00197368421052632,0.632894736842105,0,0.0985145970394737
WVA,1552,0.930455635491607,1668,37.7919664268585,32,9936665.04008393,0,0,0.450239808153477,NA,0.0969396357913669
VRG,2187,0.885066774585188,2471,31.9757183326588,26,8221777.01455281,7,0.0028328611898017,0.650748684743019,0.285714285714286,0.0808250708215297
SRL,1802,0.561545652851356,3209,17.5905266438143,6,9318009.36502649,816,0.254284823932689,0.331567466500467,0.198529411764706,0.0407837332502337
ITA,4099,0.703690987124464,5825,21.342660944206,12,9122027.69763433,678,0.116394849785408,0.634849785407725,0.268436578171091,0.0538827789699571
YUG,3874,0.729979272658753,5307,22.3853401168268,14,9470409.38514226,396,0.0746184284906727,0.46184284906727,0.275252525252525,0.0566159671188996
JAM,1487,0.593849840255591,2504,20.055910543131,12,7705365.61930112,740,0.295527156549521,0.528753993610224,0.205405405405405,0.0412777056709265
WAU,4669,0.452685669963157,10314,3.79901105293775,1,4344587.68113923,7023,0.680919139034322,0.846519294163273,0.383027196354834,0.0191510022784565
MDG,3718,0.346021405304793,10745,5.25407166123779,1,2845460.17603816,9058,0.84299674267101,0.62038157282457,0.275115919629057,0.0175350453699395
BUL,2966,0.76899144412756,3857,26.6740990407052,19,11556818.0540964,186,0.0482240082966036,0.387606948405496,0.102150537634409,0.062100969017371
AND,1131,0.659090909090909,1716,20.5005827505828,13,9211184.22326923,140,0.0815850815850816,0.0268065268065268,0.0857142857142857,0.0481588723776224
CBD,2379,0.642972972972973,3700,15.2510810810811,9,7174441.11148919,158,0.0427027027027027,0.136486486486486,0.113924050632911,0.0457559121621622
SUL,1729,0.445733436452694,3879,12.3735498839907,4,5393596.29321217,1270,0.327403970095385,0.17272492910544,0.0889763779527559,0.0304866750451147
ALT,1875,0.739353312302839,2536,28.9302050473186,17,18813426.3948817,84,0.0331230283911672,0.275630914826498,0.107142857142857,0.0650168819006309
YAK,1185,0.774509803921569,1530,31.4326797385621,18,22125451.1379412,61,0.0398692810457516,0.106535947712418,0.0655737704918033,0.0699652777777778
ZAI,4044,0.443761659168221,9113,12.4236804564907,7,8348566.54203885,1278,0.140239218698562,0.540875672116756,0.0344287949921753,0.0241139032151871
TAN,4714,0.506663800515907,9304,12.6966895958727,6,8028194.37725709,1528,0.164230438521066,0.593615649183147,0.209424083769634,0.0270607735920034
MOZ,3137,0.607474825716499,5164,16.4302865995352,9,9695737.30720953,274,0.0530596436870643,0.530983733539892,0.142335766423358,0.0346600261425252
MLW,2588,0.573327425786442,4514,17.094816127603,10,10451194.9989654,155,0.0343376163048294,0.265396544085069,0.148387096774194,0.0323022817899867
ZAM,3032,0.50332005312085,6024,15.1304780876494,8,9648445.13820551,348,0.0577689243027888,0.328851261620186,0.103448275862069,0.0271038242861886
KEN,3620,0.594319487768839,6091,15.8609423739944,8,9775331.51168938,440,0.0722377277951075,0.362830405516336,0.227272727272727,0.0338152602199967
ZIM,3017,0.602797202797203,5005,16.9762237762238,9,10089403.0221039,212,0.0423576423576424,0.302497502497503,0.0754716981132075,0.0339597902097902
BOT,1592,0.655953852492789,2427,20.8413679439637,10,12163353.5758508,17,0.00700453234445818,0.647301194890812,0,0.0406237124021426
BEN,1497,0.657444005270092,2277,27.2564778216952,20,14993883.1081247,12,0.00527009222661397,0.822134387351779,0,0.0407951800614844
BKN,1123,0.633747178329571,1772,30.132618510158,23,17377565.9157393,1,0.000564334085778781,0.713882618510158,0,0.0410773490406321
GHA,1953,0.65295887662989,2991,23.0919424941491,16,12434490.3950752,26,0.00869274490137078,0.723503844867937,0.230769230769231,0.0375475384486794
GUI,1735,0.613290915517851,2829,22.0438317426653,16,11715593.9993567,99,0.0349946977730647,0.453517143867091,0.101010101010101,0.0356768071756805
